"date","iso3c","SH.H2O.SAFE.ZS","SH.STA.ACSN","SH.STA.ODFC.ZS","SP.POP.TOTL"
1990,"WLD",76.0824246702033,52.8966660133501,NA,5284886348
1991,"WLD",76.6850818102102,53.2376393555797,NA,5372078249
1992,"WLD",77.3570160652247,53.7478307296225,NA,5456141249
1993,"WLD",77.8986942737191,54.2257601326801,NA,5541075501
1994,"WLD",78.6792021491743,55.1288625868737,NA,5624840414
1995,"WLD",79.318656248732,55.6902492397835,NA,5709757338
1996,"WLD",79.9521767723456,56.4340737486085,NA,5792568347
1997,"WLD",80.5761723326367,57.0052412138459,NA,5875398158
1998,"WLD",81.2184649793273,57.6162147648745,NA,5957237460
1999,"WLD",81.8590805453581,58.1851556506678,NA,6038067278
2000,"WLD",82.4816198739574,58.7839267464074,20.4922295118387,6118075293
2001,"WLD",83.0907551278973,59.3900313880586,20.0136934712069,6197638117
2002,"WLD",83.7107171482925,59.9943881651006,19.4697844266394,6276824417.88287
2003,"WLD",84.3173908382252,60.6015844606795,18.95565523486,6356259573.89893
2004,"WLD",84.9303643894469,61.2287334506386,18.4493990981408,6436346997.99137
2005,"WLD",85.5215357885623,61.8380103707083,17.9030666562932,6517020798.24397
2006,"WLD",86.1141878046835,62.451341107352,17.137879963837,6598421257.48499
2007,"WLD",86.7051176361788,63.0422154177071,16.5884709005836,6680423046.99093
2008,"WLD",87.2688927747145,63.6577226190915,16.032277111755,6763745673.29553
2009,"WLD",87.8361124691035,64.2548218620672,15.4741644870157,6847214549.1102
2010,"WLD",88.3648435873117,64.8288635110289,14.914434195201,6930656699.36223
2011,"WLD",88.8651969001453,65.2989100992769,14.4386621859357,7012843635.35782
2012,"WLD",89.4793689954095,65.9312854646767,13.8720521753769,7097400665.07723
2013,"WLD",90.0505258400267,66.503468825245,13.2887295664609,7182860114.61008
2014,"WLD",90.539854005042,67.0265178359801,12.7311856800453,7268986175.73916
2015,"WLD",90.9513551766226,67.5287448259051,12.1768453739814,7355220411.68203
